considerate	0.041028	0.136380	0.015378	0.514611	-0.040485
consistent	-0.070000	0.450000	-0.030000	0.050000	-0.340000
contemplative	0.410000	0.020000	-0.240000	0.150000	0.030000
contemporary	0.310000	0.080000	0.110000	0.090000	-0.030000
contented	0.050641	0.118981	0.379586	0.175396	-0.563585
controlled	-0.095773	0.376668	-0.016528	0.189100	-0.103752
conventional	-0.317072	0.196353	-0.013012	0.073212	0.116788
conversational	-0.110000	-0.080000	0.580000	0.120000	-0.010000
convincing	0.000123	0.161057	0.387764	-0.160123	-0.222113
cool-headed	-0.297273	0.056462	0.076585	0.038943	-0.231794
cooperative	-0.052492	0.153282	0.042453	0.524029	-0.093207
cordial	0.093791	0.046114	-0.020114	0.513101	0.035646
courageous	0.070000	0.100000	0.330000	-0.080000	-0.350000
courteous	0.000000	0.230000	-0.070000	0.530000	0.020000
cowardly	0.036688	-0.154128	-0.335232	0.175696	0.268256
crabby	-0.070000	-0.010000	-0.150000	-0.240000	0.420000
crafty	-0.040000	0.040000	0.110000	-0.160000	-0.100000
cranky	-0.110000	-0.050000	-0.080000	0.180000	0.390000
creative	0.492127	0.019239	0.135286	0.073305	-0.114928
critical	0.170000	0.060000	-0.010000	-0.320000	0.310000
cruel	0.000000	-0.040000	0.000000	-0.400000	-0.060000
cultured	0.357499	0.248487	0.045423	0.135703	-0.040378
cunning	0.009898	0.123673	0.238520	-0.264949	-0.070102
curious	0.373618	-0.000486	0.067068	0.075458	0.084643
cute	-0.030000	0.110000	0.450000	0.020000	0.180000
cynical	0.165461	-0.088188	-0.096383	-0.400898	0.078172
dangerous	-0.050000	-0.110000	0.220000	-0.430000	0.110000
daring	0.020000	0.000000	0.460000	-0.140000	-0.200000
deceitful	0.140000	-0.150000	0.030000	-30.000000	0.070000
decisive	0.150000	0.430000	0.180000	-0.030000	-0.220000
deep	0.449599	-0.007169	-0.083184	0.212196	-0.026993
deep-thinking	0.060000	0.260000	-0.230000	0.180000	-0.330000
defensive	-0.050000	-0.040000	-0.170000	-0.170000	0.410000
deliberate	0.120000	0.280000	0.000000	-0.080000	-0.090000
deliberative	-0.125405	0.435283	-0.207076	0.101179	-0.082113
demanding	0.000000	0.150000	0.190000	-0.340000	0.310000
demonstrative	0.150000	-0.070000	0.290000	0.030000	0.010000
dependable	-0.010000	0.510000	-0.050000	0.310000	-0.060000
dependent	-0.254644	-0.078418	-0.165254	0.240204	0.168215
depressed	-0.093347	0.134293	-0.168685	-0.153018	0.149034
depressive	-0.093700	-0.156388	0.291850	-0.017225	0.538150
detached	0.070000	-0.080000	-0.370000	-0.180000	-0.120000
detail-oriented	0.000000	0.500000	-0.100000	0.140000	-0.050000
determined	-0.182924	0.387887	0.240000	-0.153415	-0.153661
devious	-0.110000	-0.100000	0.160000	-0.290000	0.090000
dignified	0.040000	0.380000	0.070000	0.060000	0.000000
diplomatic	0.280000	0.130000	0.080000	0.230000	-0.060000
direct	0.220000	0.140000	0.330000	-0.070000	-0.130000
disagreeable	-0.068097	-0.171299	-0.166589	-0.561974	0.044977
discontented	-0.050641	-0.118981	-0.379586	-0.175396	0.563585
discordant	-0.040000	-0.160000	-0.240000	-0.450000	-0.040000
discreet	0.180000	0.260000	-0.260000	0.240000	-0.090000
dishonest	-0.036688	-0.179824	0.030640	-0.315585	0.058256
disobedient	0.230000	-0.190000	0.060000	-0.340000	-0.060000
disorderly	0.036367	-0.616351	0.044547	-0.080000	-0.075469
disorganized	-0.007350	-0.630218	-0.047713	0.009017	-0.060087
disrespectful	0.105003	-0.284232	-0.020514	-0.363205	-0.106176
